level,Exposed dust area (km$^2$),TDS (gL$^{-1}$),Mg/Na,SO4/Cl,Adult $Artemia$ biomass (ind m$^{-3}$),Number of flamingos,Disconnection of the N&S arms,Island connection,Isalnad merging,Distance to shore at Bari (m),Distance to shore at Golmankhaneh (m)
1270,730.4463017,373.2808587,1.58,0.28,0,0,1,1,1,1147,2969
1270.1,725.6403017,373.2808587,1.45,0.27,0,-1,1,1,1,1051,2726
1270.2,721.1322017,373.2808587,1.34,0.26,0,-2,1,1,1,977,2519
1270.3,715.7160017,373.2808587,1.24,0.25,0,-2,1,1,1,910,2347
1270.4,707.9211017,373.2808587,1.15,0.24,0,-3,0,1,1,842,2200
1270.5,694.7928016,373.2808587,1.07,0.23,0,-5,0,1,1,784,2072
1270.6,679.5333014,373.2808587,0.99,0.22,0,-6,0,1,1,714,1961
1270.7,659.7351015,373.2808587,0.93,0.21,0,-9,0,1,1,622,1747
1270.8,640.0746013,373.2808586,0.86,0.2,0,-12,0,1,1,549,1139
1270.9,618.1551009,373.2808576,0.81,0.19,0,-17,0,1,1,460,1107
1271,584.5239008,373.2808495,0.76,0.18,0,-23,0,1,1,345,933
1271.1,551.9268003,373.2807971,0.71,0.18,-46,-32,0,1,1,308,915
1271.2,523.3661998,373.2805336,0.66,0.17,-46,-43,0,0,1,292,900
1271.3,498.4505998,373.2794642,0.62,0.16,-46,-59,0,0,1,279,887
1271.4,471.3461996,373.2758506,0.58,0.16,-46,-80,0,0,1,270,828
1271.5,443.1302994,373.2654192,0.55,0.15,-46,-109,0,0,1,262,595
1271.6,418.1111997,373.2391286,0.52,0.14,-46,-148,0,0,0,254,575
1271.7,393.5763,373.1802052,0.49,0.14,-46,-200,0,0,0,246,415
1271.8,371.7954,373.0609287,0.46,0.13,-46,-272,0,0,0,240,381
1271.9,346.9652999,372.8399644,0.43,0.13,-47,-368,0,0,0,233,362
1272,307.5236998,372.4611491,0.41,0.12,-47,-497,0,0,0,226,347
1272.1,281.1869999,371.8544565,0.38,0.11,-48,-669,0,0,0,217,333
1272.2,267.4673998,370.9394709,0.36,0.11,-50,-900,0,0,0,209,320
1272.3,257.1101999,369.631171,0.34,0.11,-52,-1204,0,0,0,204,300
1272.4,247.9688998,367.8473312,0.32,0.1,-55,-1603,0,0,0,200,272
1272.5,240.1172999,365.5164879,0.3,0.1,-59,-2119,0,0,0,196,241
1272.6,233.9315999,362.5852761,0.28,0.09,-65,-2777,0,0,0,192,205
1272.7,227.9565,359.0240412,0.27,0.09,-71,-3598,0,0,0,187,162
1272.8,222.6941999,354.8299461,0.25,0.09,-78,-4599,0,0,0,182,117
1272.9,217.0754998,350.0272501,0.24,0.08,-87,-5782,0,0,0,177,92
1273,210.5126999,344.6649189,0.23,0.08,-97,-7131,0,0,0,172,76
1273.1,205.7408998,338.8121278,0.21,0.08,-108,-8608,0,0,0,159,63
1273.2,202.4423999,332.552464,0.2,0.07,-120,-10156,0,0,0,152,54
1273.3,199.9133999,325.9776902,0.19,0.07,-133,-11703,0,0,0,145,44
1273.4,197.3132998,319.1818267,0.18,0.07,-146,-13180,0,0,0,139,17
1273.5,194.6267998,312.2560996,0.17,0.07,-160,-14529,0,0,0,132,13
1273.6,192.2147998,305.2850611,0.16,0.06,-175,-15712,0,0,0,125,9
1273.7,189.5732998,298.3439648,0.15,0.06,-189,-16713,0,0,0,118,6
1273.8,186.9281998,291.4973073,0.15,0.06,-204,-17534,0,0,0,109,6
1273.9,183.6125998,284.7983506,0.14,0.06,-219,-18192,0,0,0,101,5
1274,178.5491997,278.2893892,0.13,0.06,-234,-18709,0,0,0,93,4
1274.1,173.7719997,272.0025313,0.13,0.06,-248,-19107,0,0,0,85,3
1274.2,170.2763998,265.9607883,0.12,0.06,-263,-19412,0,0,0,77,3
1274.3,167.4269998,260.1793097,0.12,0.05,-277,-19642,0,0,0,59,3
1274.4,164.2643998,254.6666419,0.11,0.05,-290,-19815,0,0,0,42,3
1274.5,160.8092998,249.4259303,0.11,0.05,-304,-19944,0,0,0,24,3
1274.6,157.5719998,244.456015,0.11,0.05,-317,-20040,0,0,0,7,3
1274.7,154.0349998,239.7523955,0.1,0.05,-329,-20111,0,0,0,0,3
1274.8,150.5537998,235.3080564,0.1,0.05,-341,-20164,0,0,0,0,3
1274.9,146.0321999,231.1141589,0.1,0.05,-352,-20203,0,0,0,0,3
1275,138.1715998,227.1606074,0.1,0.05,-364,-20232,0,0,0,0,3
1275.1,129.1940998,223.4365059,0.1,0.05,-374,-20253,0,0,0,0,3
1275.2,121.6016998,219.930519,0.1,0.05,-384,-20268,0,0,0,0,3
1275.3,115.0217997,216.6311524,0.1,0.05,-394,-20280,0,0,0,0,3
1275.4,109.0205998,213.5269664,0.1,0.06,-403,-20288,0,0,0,0,3
1275.5,103.6484998,210.6067348,0.1,0.06,-412,-20295,0,0,0,0,3
1275.6,99.55979976,207.8595606,0.1,0.06,-420,-20299,0,0,0,0,0
1275.7,95.57549983,205.2749556,0.1,0.06,-428,-20303,0,0,0,0,0
1275.8,91.23299983,202.8428937,0.1,0.06,-436,-20305,0,0,0,0,0
1275.9,84.83309981,200.553842,0.11,0.06,-443,-20307,0,0,0,0,0
1276,72.3878999,198.398776,0.11,0.06,-450,-20308,0,0,0,0,0
1276.1,61.78950002,196.3691827,0.11,0.07,-457,-20309,0,0,0,0,0
1276.2,55.56960001,194.4570542,0.12,0.07,-463,-20310,0,0,0,0,0
1276.3,50.80860012,192.6548753,0.12,0.07,-469,-20310,0,0,0,0,0
1276.4,46.1862002,190.9556055,0.13,0.07,-474,-20311,0,0,0,0,0
1276.5,41.67180019,189.3526592,0.13,0.08,-480,-20311,0,0,0,0,0
1276.6,37.62540018,187.8398833,0.14,0.08,-485,-20311,0,0,0,0,0
1276.7,33.59880018,186.4115336,0.15,0.08,-490,-20311,0,0,0,0,0
1276.8,29.87730014,185.0622514,0.15,0.09,-495,-20312,0,0,0,0,0
1276.9,25.42140016,183.7870404,0.16,0.09,-499,-20312,0,0,0,0,0
1277,17.22060009,182.5812428,0.17,0.09,-503,-20312,0,0,0,0,0
1277.1,4.647599961,181.4405183,0.18,0.1,-507,-20312,0,0,0,0,0
1277.2,0.676799994,180.360822,0.19,0.1,-511,-20312,0,0,0,0,0
1277.3,0.133200001,179.3383846,0.2,0.11,-515,-20312,0,0,0,0,0
1277.4,0.063,178.3696932,0.21,0.11,-518,-20312,0,0,0,0,0
1277.5,0,177.4514735,0.23,0.12,-521,-20312,0,0,0,0,0
1277.6,0,176.5806725,0.24,0.12,-525,-20312,0,0,0,0,0
1277.7,0,175.7544434,0.25,0.13,-528,-20312,0,0,0,0,0
1277.8,0,174.9701303,0.27,0.13,-530,-20312,0,0,0,0,0
1277.9,0,174.2252549,0.29,0.14,-533,-20312,0,0,0,0,0
1278,0,173.5175034,0.3,0.15,-536,-20312,0,0,0,0,0
