date,water_level,volume,TDS,K,Na,Mg,Ca,SO4,Cl,HCO3,CO3,density
6/1/2008,1272.6,8.54,382,1.067747282,84.4005534,14.08944722,0.442252093,7.11733891,92.48504778,0.397613313,0,1.25
6/1/2008,1272.6,8.54,386,1.020413245,84.1930169,14.35811358,0.428456274,6.691352525,92.97622824,0.332419235,0,1.25
6/1/2008,1272.6,8.54,374,1.111855933,83.17592334,15.27779981,0.434420916,7.310365708,92.34146157,0.348172724,0,1.24
6/1/2008,1272.6,8.54,369,1.151016243,83.03695044,15.37129873,0.440734583,7.318409093,92.32681089,0.354780019,0,1.24
6/1/2008,1272.6,8.54,372,1.094881391,83.50970238,14.94777662,0.447639611,7.280820845,92.37340983,0.345769321,0,1.24
6/1/2008,1272.6,8.54,387,1.035572789,84.49786467,14.0444693,0.42209324,6.834460416,92.8315673,0.333972285,0,1.25
6/1/2008,1272.6,8.54,375,0.994534231,83.96342927,14.59279657,0.449239924,7.405007316,92.2540305,0.340962181,0,1.24
6/1/2008,1272.6,8.54,384,1.093709755,83.1820814,15.28982111,0.434387738,6.981061988,92.68337476,0.33556325,0,1.25
6/1/2008,1272.6,8.54,382,1.046205222,83.75391082,14.78883032,0.411053643,6.775939756,92.89081731,0.333242939,0,1.25
6/1/2008,1272.6,8.54,383,1.072518127,83.73491539,14.79534898,0.397217505,7.180552075,92.48578971,0.333658214,0,1.25
6/1/2008,1272.6,8.54,388,1.039167054,83.63428608,14.92861366,0.39793321,7.091350076,92.57673145,0.331918477,0,1.25
6/1/2008,1272.6,8.54,387,1.106075774,83.78610745,14.70016513,0.407651638,7.064694934,92.60272984,0.33257523,0,1.25
6/1/2008,1272.6,8.54,390,1.059615441,83.84783052,14.66782485,0.424729189,7.305466063,92.30794932,0.386584617,0,1.25
6/1/2008,1272.6,8.54,398,0.985384206,84.18117978,14.42346729,0.409968723,6.892133553,92.77523626,0.332630183,0,1.26
6/1/2008,1272.6,8.54,386,1.0251197,83.89220311,14.6643571,0.418320082,6.978433522,92.6862615,0.335304973,0,1.25
6/1/2008,1272.6,8.54,379,1.104436364,83.85402637,14.59875306,0.442784198,7.16430357,92.48622339,0.349473038,0,1.25
6/1/2008,1272.6,8.54,382,1.058180425,84.78588497,13.73115075,0.424783856,7.267010449,92.40449128,0.328498275,0,1.25
6/1/2008,1272.6,8.54,384,1.041240631,83.88205382,14.65117324,0.425532306,6.921421373,92.73848891,0.34008972,0,1.25
6/1/2008,1272.6,8.54,378,1.014553008,84.6178092,13.93979336,0.427844427,7.275206257,92.3813086,0.343485148,0,1.25
6/1/2008,1272.6,8.54,381,1.001159549,84.54542057,14.01821226,0.435207617,7.242773461,92.41922016,0.338006375,0,1.25
6/1/2008,1272.6,8.54,368,1.053869067,83.43947277,15.05966595,0.446992209,7.37430506,92.27447696,0.35121798,0,1.25
6/1/2008,1272.6,8.54,370,1.008911114,83.46864561,15.07264386,0.449799425,7.445047776,92.20241144,0.35254078,0,1.25
6/1/2008,1272.6,8.54,376,1.05831757,82.77134884,15.73119333,0.439140261,7.07374957,92.5738928,0.352357626,0,1.25
6/1/2008,1272.6,8.54,398,0.99271997,84.16538874,14.43362588,0.408265418,6.920494264,92.74844952,0.331056214,0,1.25
6/1/2008,1272.6,8.54,390,1.037477011,84.05067379,14.48625308,0.425596125,7.155265318,92.50394896,0.340785717,0,1.25
6/1/2008,1272.6,8.54,385,1.008228779,84.1851105,14.39781249,0.408848227,6.863526058,92.80260585,0.333868093,0,1.25
6/1/2008,1272.6,8.54,378,1.074979336,83.971273,14.52429946,0.429448206,7.277181795,92.38024001,0.342578191,0,1.24
6/1/2008,1272.6,8.54,374,1.104187529,83.76159404,14.70520422,0.429014215,7.408971166,92.23403703,0.356991808,0,1.24
6/1/2008,1272.6,8.54,374,1.031213768,83.65754662,14.85150025,0.459739362,7.464472538,92.18971754,0.345809926,0,1.24
6/1/2008,1272.6,8.54,376,1.048897414,83.53866755,14.97857292,0.433862112,7.250706347,92.39838177,0.350911887,0,1.25
6/1/2008,1272.6,8.54,380,0.998674704,84.00876032,14.58026057,0.412304412,6.719695299,92.95135082,0.328953883,0,1.25
6/1/2008,1272.6,8.54,365,1.047275476,84.08214665,14.43970732,0.430870552,7.065443857,92.5473632,0.387192942,0,1.24
6/1/2008,1272.6,8.54,383,0.979460572,83.70027969,14.90567973,0.414580007,6.806985946,92.86729209,0.325721968,0,1.25
6/1/2008,1272.6,8.54,376,1.073819454,83.6594945,14.82202529,0.444660759,6.892597137,92.76018577,0.347217089,0,1.25
6/1/2008,1272.6,8.54,382,1.060479436,84.41951303,14.07563832,0.444369217,6.951749473,92.70196997,0.346280557,0,1.25
6/1/2008,1272.6,8.54,377,0.978088359,83.9320674,14.67132538,0.418518861,7.042119879,92.60869978,0.349180343,0,1.25
6/1/2008,1272.6,8.54,389,0.9942671,84.62202778,13.97348356,0.410221553,6.920978886,92.75129625,0.327724867,0,1.25
6/1/2008,1272.6,8.54,381,1.037631778,84.37571484,14.16618106,0.420472312,6.689024182,92.97893294,0.332042873,0,1.25
6/1/2008,1272.6,8.54,386,1.041705008,85.02300285,13.51689987,0.418392265,6.863526058,92.80260585,0.333868093,0,1.25
6/1/2008,1272.6,8.54,378,1.111067505,84.03382007,14.41789937,0.437213057,6.862820808,92.79307008,0.344109109,0,1.25
6/1/2008,1272.6,8.54,364,1.102967004,83.5055558,14.9470344,0.444442793,7.042119879,92.60869978,0.349180343,0,1.25
6/1/2008,1272.6,8.54,372,1.039407956,84.08751715,14.44062961,0.432445283,6.892340755,92.76275583,0.344903416,0,1.24
6/1/2008,1272.6,8.54,374,1.056117501,82.86875943,15.61397247,0.461150601,7.416700039,92.22375502,0.359544943,0,1.24
6/1/2008,1272.6,8.54,383,1.041990342,83.97591199,14.55022635,0.43187132,7.436575611,92.20823195,0.355192444,0,1.25
6/1/2008,1272.6,8.54,379,1.012986309,83.46922287,15.0727481,0.44504272,7.101684576,92.54683972,0.351475703,0,1.25
6/1/2008,1272.6,8.54,392,1.051758294,84.03867881,14.50896783,0.400595061,7.007318085,92.65990136,0.332780557,0,1.25
6/1/2008,1272.6,8.54,373,1.001133405,83.82212036,14.71583023,0.460916004,7.324644864,92.3154527,0.359902437,0,1.25
6/1/2008,1272.6,8.54,376,1.074402507,85.20265871,13.27683706,0.446101725,7.012396407,92.64083326,0.346770332,0,1.25
